Word,Count
begun,3
herself,7
poised,1
crystal,1
scales,2
weighed,3
ladys,9
against,24
shining,1
scant,1
seems,8
best,20
sight,17
rejoice,2
splendor,1
nurse,147
wheres,8
daughter,13
maidenhead,2
twelve,3
year,4
bade,4
comewhat,1
lamb,6
ladybird,1
forbid,5
girl,7
juliet,176
calls,13
mother,22
matternurse,1
awhile,6
secretnurse,1
remembered,1
s,8
knowest,5
age,8
faith,22
lay,15
teeth,2
teen,1
spoken,4
lammastide,1
fortnight,1
odd,2
days,20
lammas,2
eve,2
susan,3
christian,1
souls,6
earthquake,1
eleven,2
weaned,1
had,53
laid,7
wormwood,2
dug,3
sitting,2
under,14
dovehouse,2
mantua,12
brain,7
taste,4
nipple,2
felt,3
bitter,3
fool,9
tetchy,1
fall,20
shake,9
quoth,6
twas,4
need,13
trow,2
bid,28
highlone,1
rood,1
waddled,1
broke,6
brow,6
husband,18
soul,18
took,8
yea,4
jule,3
holidam,1
wretch,3
left,10
crying,3
jest,6
warrant,12
thousand,11
stinted,2
enough,17
choose,3
its,1
bump,1
big,2
cockrels,1
stone,3
perilous,2
knock,26
cried,5
bitterly,2
fallst,1
comest,1
stint,1
done,48
grace,14
wast,7
prettiest,2
babe,4
eer,4
nursed,2
married,19
wish,9
very,35
theme,1
oftell,1
stands,9
disposition,3
honor,15
dream,10
sucked,2
wisdom,12
teat,1
marriage,11
esteem,3
already,9
count,4
thus,22
brief,6
seeks,1
ladylady,1
worldwhy,1
wax,2
summer,3
flower,12
gentleman,17
volume,3
beautys,2
pen,1
every,23
lineament,1
lends,3
content,5
obscured,1
margent,1
unbound,1
lover,4
beautify,1
lacks,1
cover,2
manys,1
share,3
glory,2
clasps,1
story,4
possess,2
yourself,7
less,14
bigger,2
briefly,2
looking,1
liking,1
endart,1
gives,12
strength,9
fly,16
guests,5
served,3
called,8
cursed,5
pantry,1
everything,3
extremity,1
wait,4
beseech,7
follow,7
straight,12
stays,4
nights,14
five,6
six,1
maskers,2
torchbearers,1
boy,14
drum,10
speech,5
spoke,10
excuse,5
apology,1
date,3
prolixity,1
cupid,3
hoodwinked,1
scarf,2
bearing,3
tartars,2
painted,3
lath,1
scaring,1
crowkeeper,1
withoutbook,1
prologue,1
faintly,1
after,10
prompter,1
entrance,4
measure,9
gone,35
torch,9
ambling,1
dance,6
believe,7
dancing,3
shoes,2
nimble,1
soles,1
stakes,1
borrow,1
wings,5
soar,2
above,13
sore,3
enpierced,1
shaft,3
feathers,1
pitch,1
dull,3
woe,15
burden,3
sink,2
tender,9
thing,17
rude,5
boistrous,1
pricks,1
thorn,1
prick,4
pricking,2
visage,1
visor,3
care,12
curious,1
cote,1
deformities,1
beetle,2
blush,3
sooner,3
betake,1
legs,3
wantons,2
tickle,1
senseless,1
rushes,2
heels,3
proverbed,1
grandsire,2
phrase,1
candle,2
holder,1
game,1
duns,1
mouse,3
constables,1
dun,1
mire,1
save,5
reverence,1
lovewherein,1
stickest,1
burn,7
thats,17
delay,3
lights,2
vain,3
meaning,3
judgment,4
sits,4
times,12
wits,5
going,7
masque,1
ask,6
dreamt,4
tonight,25
dreamers,1
asleep,7
things,31
queen,4
mab,3
fairies,3
midwife,1
shape,6
agate,1
forefinger,1
alderman,1
team,1
little,18
atomi,1
over,4
mens,10
noses,1
wagon,1
spokes,1
spinners,1
grasshoppers,1
traces,1
smallest,1
spider,1
web,1
collars,1
moonshines,1
watry,1
beams,2
whip,2
crickets,2
bone,2
lash,1
film,1
wagoner,2
small,2
graycoated,1
gnat,1
half,7
round,7
pricked,1
lazy,2
finger,4
chariot,1
empty,5
hazelnut,1
joiner,1
squirrel,1
grub,1
coachmakers,1
state,12
gallops,2
brains,4
courtiers,2
knees,4
cursies,1
lawyers,1
fingers,5
fees,1
lips,20
kisses,6
oft,4
angry,2
blisters,2
plagues,1
because,10
breaths,1
sweetmeats,1
tainted,1
sometime,7
nose,3
dreams,7
smelling,1
tithepigs,1
tail,2
tickling,1
parsons,1
benefice,1
driveth,1
soldiers,12
cutting,1
foreign,2
throats,1
breaches,1
ambuscadoes,1
spanish,1
blades,1
healths,1
fathom,1
anon,14
drums,1
ear,12
starts,3
wakes,3
frighted,1
swears,2
prayer,2
sleeps,3
plats,1
manes,1
horses,7
bakes,1
elflocks,1
foul,9
sluttish,1
hairs,2
untangled,1
misfortune,1
bodes,1
hag,1
backs,2
presses,2
learns,1
carriage,1
talkst,2
children,9
idle,1
begot,1
fantasy,1
thin,1
substance,3
inconstant,3
wind,7
woos,1
frozen,1
bosom,10
north,1
angered,2
puffs,1
thence,8
dewdropping,1
south,2
ourselves,3
late,17
misgives,1
consequence,3
hanging,2
fearful,7
revels,1
expire,2
term,2
despised,3
life,39
closed,4
vile,9
untimely,7
steerage,1
course,6
direct,1
sail,4
gentlemen,13
march,3
stage,4
withdraw,4
servingmen,4
napkins,2
potpan,2
helps,2
shift,3
trencher,2
scrape,1
second,40
manners,2
unwashed,1
joint,3
stools,2
court,6
cupboard,1
plate,1
marchpane,1
porter,11
grindstone,1
nellanthony,1
third,27
ready,8
looked,5
cheerly,2
boys,1
brisk,1
longer,7
liver,2
household,1
gentlewomen,1
toes,1
unplagued,1
corns,2
bout,1
ah,15
mistresses,1
deny,8
dainty,2
swear,10
worn,5
whispering,1
tale,8
gentlemencome,1
musicians,8
play,14
music,12
plays,2
hall,3
roomand,1
girls,1
knaves,1
tables,3
room,1
grown,3
hot,7
unlookedfor,1
sport,2
sit,15
past,8
t,58
mask,2
r,3
thirty,2
nuptial,1
lucentio,1
pentecost,1
twenty,13
masked,1
elder,2
ward,1
ago,2
enrich,1
hand,50
yonder,5
knight,2
torches,4
hangs,3
cheek,6
jewel,3
ethiops,1
use,20
dear,30
snowy,1
dove,2
trooping,1
crows,1
fellows,5
watch,22
place,21
touching,1
blessed,8
forswear,1
fetch,7
rapier,2
page,10
dares,7
hither,17
covered,1
antic,3
fleer,1
solemnity,3
stock,1
kin,1
sin,16
kinsman,11
wherefore,8
storm,2
alone,21
bears,4
portly,1
truth,13
brags,2
virtuous,3
wellgoverned,1
youth,7
wealth,3
town,4
disparagement,1
patient,4
respect,3
presence,4
frowns,1
illbeseeming,2
semblance,1
fits,2
endure,4
endured,1
goodman,1
youll,7
mend,2
mutiny,1
cockahoop,1
shame,16
saucy,4
trick,1
chance,8
scathe,1
contrary,3
heartsyou,1
princox,1
ormore,1
lightfor,1
quietwhat,2
patience,8
perforce,2
willful,1
meeting,6
tremble,3
different,3
greeting,3
intrusion,1
seeming,3
convert,2
bittrest,1
taking,4
juliets,5
profane,1
unworthiest,1
holy,24
shrine,1
blushing,1
pilgrims,2
smooth,2
touch,6
pilgrim,2
mannerly,1
devotion,3
saints,3
palm,2
palmers,2
saint,9
grant,4
lest,6
prayers,6
sake,5
effect,3
trespass,1
sweetly,2
craves,4
toward,11
bachelor,1
talked,2
chinks,1
account,4
foes,3
begone,8
unrest,1
prepare,5
trifling,1
foolish,3
banquet,3
thank,10
honest,12
herecome,1
fay,1
waxes,1
yond,5
heir,5
tiberio,1
whats,20
door,8
petruchio,4
follows,2
name,36
grave,21
wedding,5
returning,3
enemy,10
sprung,1
unknown,3
prodigious,1
birth,5
loathed,2
rhyme,2
danced,1
strangers,3
chorus,2
desire,9
deathbed,1
affection,3
gapes,1
groaned,1
matched,2
beloved,2
bewitched,1
charm,5
looks,9
complain,1
steal,2
bait,1
hooks,1
held,3
access,2
breathe,1
vows,1
meet,16
anywhere,2
passion,5
power,16
tempring,1
extremities,1
extreme,1
forward,3
center,1
withdraws,1
stoln,3
ran,5
leapt,1
orchard,2
conjure,5
humors,1
appear,4
likeness,3
sigh,2
satisfied,6
cry,13
pronounce,7
gossip,1
venus,2
nickname,1
purblind,1
abraham,1
shot,3
trim,2
king,38
cophetua,1
beggar,1
heareth,1
stirreth,1
moveth,1
ape,1
rosalines,1
high,11
forehead,1
scarlet,2
lip,1
fine,4
leg,3
quivering,1
thigh,1
demesnes,2
adjacent,1
anger,5
twould,2
raise,5
spirit,7
circle,3
strange,22
nature,24
letting,2
conjured,1
invocation,1
hid,5
trees,4
consorted,1
humorous,1
befits,1
medlar,1
tree,6
kind,10
fruit,1
medlars,1
openarse,1
poprin,1
pear,1
truckle,1
fieldbed,1
jests,1
scars,1
wound,5
breaks,1
arise,3
kill,13
moon,6
pale,15
vestal,2
livery,2
green,6
wear,9
knew,3
speaks,8
says,10
discourses,2
answer,15
bold,8
fairest,2
business,12
entreat,3
twinkle,1
spheres,1
return,10
brightness,1
lamp,2
region,1
stream,1
birds,5
sing,4
leans,1
glove,1
angel,3
glorious,1
winged,1
messenger,14
whiteupturned,1
wondring,1
mortals,3
gaze,4
bestrides,1
puffing,1
sails,1
refuse,1
thyself,12
arm,10
belonging,1
rose,1
smell,2
retain,1
perfection,1
owes,1
title,6
doff,2
baptized,1
henceforth,3
bescreened,1
stumblest,1
hateful,5
tear,7
drunk,5
hundred,3
words,17
tongues,4
uttering,1
sound,18
dislike,1
camest,1
walls,4
climb,3
considering,1
oerperch,1
stony,2
limits,1
attempt,3
stop,8
murder,15
alack,12
peril,1
enmity,2
cloak,1
ended,2
prorogued,1
wanting,2
direction,3
foundst,1
prompt,1
inquire,2
lent,5
pilot,2
vast,1
shore,1
washed,3
adventure,2
merchandise,1
maiden,1
bepaint,1
fain,6
dwell,4
form,6
compliment,1
swearst,1
mayst,6
false,11
perjuries,1
jove,1
laughs,1
faithfully,1
thinkest,1
won,3
perverse,1
fond,3
havior,1
trust,9
coying,1
confess,3
overheardst,1
truelove,1
pardon,12
impute,1
yielding,1
discovered,1
tips,1
silver,10
fruittree,1
tops,1
monthly,1
changes,1
circled,1
orb,1
likewise,2
variable,1
gracious,8
idolatry,1
although,1
joy,16
contract,1
rash,1
unadvised,1
sudden,8
lightning,5
cease,4
lightens,1
ripening,1
breath,21
next,8
repose,3
unsatisfied,1
satisfaction,1
exchange,3
faithful,4
gave,6
didst,10
request,2
wouldst,10
purpose,7
frank,1
bounty,2
boundless,2
infinite,1
adieu,6
nursesweet,1
afeard,4
flattering,3
substantial,1
reenter,1
bent,2
send,19
tomorrow,23
procure,1
perform,5
rite,2
fortunes,3
throughout,1
anonbut,1
meanest,1
strife,2
thrive,1
worse,7
want,3
schoolboys,1
books,1
school,2
hist,2
falcners,1
lure,1
tasselgentle,1
bondage,1
hoarse,3
aloud,3
cave,2
echo,2
tongue,19
repetition,2
silversweet,1
softest,1
attending,2
oclock,2
fail,6
forgot,3
remembring,1
company,8
forgetting,1
almost,11
bird,5
hop,1
prisoner,2
twisted,1
gyves,1
silken,1
thread,1
plucks,2
lovingjealous,1
cherishing,1
parting,1
sorrow,15
ghostly,4
friars,2
cell,12
help,24
crave,2
hap,2
friar,90
lawrence,70
basket,1
grayeyed,1
morn,4
smiles,4
frowning,1
checkring,1
eastern,1
streaks,3
fleckled,1
darkness,3
drunkard,1
reels,1
path,1
titans,1
wheels,1
advance,2
cheer,6
dank,1
dry,5
upfill,1
osier,1
cage,1
ours,4
baleful,1
weeds,3
preciousjuiced,1
flowers,7
natures,8
tomb,11
burying,1
womb,5
divers,2
sucking,1
natural,4
virtues,2
mickle,1
powerful,2
plants,1
herbs,1
stones,4
qualities,1
naught,4
special,2
aught,3
strained,1
revolts,2
stumbling,1
abuse,2
virtue,2
itself,15
turns,4
vice,3
misapplied,1
action,2
dignified,1
infant,1
rind,1
residence,1
medicine,1
smelt,1
cheers,1
each,15
tasted,1
senses,5
opposed,2
kings,14
encamp,1
herbsgrace,1
worser,2
predominant,2
full,20
canker,1
eats,1
plant,3
benedicite,1
saluteth,1
argues,1
distempered,2
keeps,8
mans,9
lodges,1
unbruised,1
unstuffed,1
couch,1
limbs,2
reign,4
earliness,1
assure,1
uproused,1
distemprature,1
sweeter,2
feasting,2
wounded,2
remedies,1
physic,3
hatred,1
lo,5
intercession,1
steads,1
plain,1
homely,2
drift,2
riddling,2
confession,3
finds,4
shrift,4
plainly,1
combined,2
combine,1
met,7
wooed,1
francis,2
forsaken,1
truly,5
jesu,3
maria,1
deal,3
brine,1
sallow,1
cheeks,8
salt,2
water,6
thrown,1
season,3
clears,2
groans,3
ringing,1
stain,1
woes,8
changed,3
theres,19
chidst,1
doting,2
pupil,1
badst,1
bury,3
chide,5
allow,1
rote,1
spell,1
waverer,1
assistant,1
alliance,1
households,1
rancor,1
pure,4
haste,17
slow,6
stumble,1
devil,10
fathers,6
hardhearted,1
wench,4
torments,1
sure,10
challenge,3
write,3
dared,1
stabbed,1
white,3
wenchs,1
lovesong,1
pin,1
cleft,1
bowboys,1
butt,1
cats,2
courageous,1
captain,7
compliments,1
fights,2
pricksong,1
distance,3
proportion,2
rests,2
minim,1
bosomthe,1
butcher,2
silk,1
button,1
duelist,2
immortal,3
passado,2
punto,1
reverso,1
hay,2
pox,1
lisping,1
affecting,1
phantasimes,1
tuners,1
accent,1
tall,1
whore,2
lamentable,5
afflicted,1
flies,4
fashionmongers,1
pardonme,1
ease,5
bench,1
bones,11
roe,1
dried,1
herring,1
fishified,1
numbers,3
petrarch,1
flowed,1
laura,1
kitchen,1
berhyme,1
dido,1
dowdy,1
cleopatra,1
gypsy,1
helen,1
hero,1
hildings,1
harlots,1
thisbe,1
gray,2
purposesignior,1
bonjour,1
french,3
salutation,2
slop,1
counterfeit,3
fairly,2
slip,2
conceive,2
strain,1
courtesy,3
constrains,1
hams,1
curtsy,1
kindly,2
courteous,3
exposition,1
pink,2
pump,2
flowered,1
single,4
sole,3
remain,2
wearing,2
solely,3
singular,2
singlesoled,1
singleness,1
faints,1
switch,2
spurs,3
wildgoose,1
chase,1
wild,7
goose,8
whole,7
sweeting,1
sharp,3
sauce,3
cheveril,1
stretches,1
inch,2
narrow,1
ell,1
broad,7
stretch,2
added,2
proves,1
wide,3
groaning,1
sociable,1
driveling,1
runs,3
lolling,1
bauble,1
hole,2
desirest,1
hair,7
large,3
deceived,2
depth,1
meant,3
occupy,1
argument,2
peter,25
goodly,2
gear,2
twoa,1
shirt,1
smock,1
fan,2
fans,1
gentlewoman,16
bawdy,1
dial,1
noon,2
mar,3
troth,2
older,2
youngest,1
fault,4
worst,6
confidence,1
indite,1
bawd,3
hare,6
lenten,1
pie,1
something,8
stale,1
hoar,4
spent,5
singing,1
meat,5
score,2
hoars,1
dinner,3
merchant,1
ropery,1
minute,6
month,2
lustier,1
jacks,1
scurvy,2
knave,4
flirtgills,1
skainsmates,1
suffer,4
occasion,4
afore,3
quivers,1
told,5
paradise,2
gross,1
behavior,1
double,12
offered,1
dealing,1
commend,7
protest,5
joyful,7
gentlemanlike,1
offer,4
devise,3
shrived,1
pains,6
offering,1
money,5
penny,1
behind,3
abbey,1
bring,20
cords,5
tackled,1
stair,1
topgallant,1
convoy,1
trusty,1
quit,2
bless,5
hark,8
sayst,3
putting,1
sweetest,3
prating,1
thingo,1
nobleman,1
knife,8
aboard,1
lief,1
toad,4
sometimes,1
properer,1
clout,1
versal,1
rosemary,3
mocker,1
dogs,3
theno,1
begins,2
sententious,1
timespeter,1
apace,3
clock,3
promised,5
perchance,3
lame,1
heralds,1
thoughts,13
ten,7
faster,1
glides,1
suns,1
driving,1
shadows,3
louring,1
hills,1
nimblepinioned,1
doves,1
windswift,1
highmost,1
hill,3
journey,2
warm,4
youthful,3
blood,39
swift,7
motion,3
ball,1
bandy,1
folks,1
feign,1
unwieldy,1
comeso,1
honey,3
news,19
gate,5
nurseo,1
lookest,2
merrily,1
shamest,2
playing,1
sour,4
aweary,2
fie,9
ache,1
jaunt,1
bad,5
circumstance,2
simple,5
excels,2
body,13
ways,5
dined,1
aches,1
beats,3
pieces,2
beshrew,4
sending,1
catch,4
jaunting,1
sorry,3
handsome,1
virtuouswhere,1
oddly,1
repliest,1
gods,5
poultice,1
aching,1
henceforward,2
messages,1
coil,1
got,5
hie,10
wanton,3
theyll,1
church,10
ladder,3
nest,3
drudge,1
toil,5
smile,4
heavens,8
act,11
afterhours,1
amen,9
countervail,1
lovedevouring,1
violent,6
delights,3
ends,3
triumph,2
powder,3
consume,1
loathsome,3
deliciousness,1
confounds,2
appetite,2
moderately,1
arrives,1
tardy,1
everlasting,3
flint,1
bestride,2
gossamers,1
idles,1
confessor,2
thanks,12
heaped,2
skill,1
blazon,1
sweeten,2
neighbor,1
musics,1
unfold,2
imagined,1
happiness,3
receive,7
conceit,2
matter,6
ornament,3
beggars,2
worth,5
excess,1
sum,2
work,8
incorporate,1
retire,2
capels,3
scape,3
brawl,2
stirring,3
enters,1
confines,1
tavern,1
claps,1
table,3
operation,1
draws,6
drawer,1
jack,2
mood,1
italy,1
moody,2
shortly,1
thouwhy,1
beard,3
cracking,1
nuts,1
reason,10
hazel,1
spy,3
quarrels,2
egg,3
beaten,2
addle,1
quarreling,2
quarreled,1
coughing,1
street,2
wakened,1
lain,3
doublet,1
easter,1
tying,1
ribbon,1
tutor,1
apt,3
buy,5
fee,2
quarter,2
others,7
companions,2
couple,1
consortest,1
consort,4
minstrels,2
discords,3
fiddlestick,1
zounds,2
public,1
haunt,3
coldly,1
grievances,1
budge,1
hanged,4
field,4
follower,1
worship,2
afford,3
appertaining,1
injuries,1
injured,1
dearly,2
calm,3
dishonorable,1
submission,1
alla,1
stoccato,1
carries,1
ratcatcher,1
hereafter,6
drybeat,2
eight,3
pluck,4
pilcher,1
forbear,2
outrage,2
expressly,1
bandying,1
attempts,1
rapiers,2
stabs,3
followers,1
plague,4
houses,5
sped,1
scratch,3
pagego,1
surgeon,1
courage,4
twill,1
peppered,1
rat,2
cat,4
braggart,2
rogue,1
arithmetic,1
thought,22
faint,3
worms,3
